number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
66	Cluster_79	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Symbiotroph	Arbuscular Mycorrhizal		
67	Cluster_80	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
68	Cluster_81	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
69	Cluster_82	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
70	Cluster_225	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
71	Cluster_85	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
72	Cluster_108	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
73	Cluster_88	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	undefined	N.R	N.R	N.R	
74	Cluster_91	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
75	Cluster_92	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
76	Cluster_125	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	undefined	N.R	N.R	N.R	
77	Cluster_90	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	undefined	N.R	N.R	N.R	
78	Cluster_94	Eukaryota	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	Syzygosporaceae	N.R	N.R	N.R	
79	Cluster_93	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	undefined	N.R	N.R	N.R	
80	Cluster_97	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
81	Cluster_98	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal		
82	Cluster_99	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	N.R	N.R	N.R	
83	Cluster_100	Eukaryota	Fungi	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Sigmoideomycetaceae	N.R	N.R	N.R	
84	Cluster_103	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Saprotroph	Saprotroph	Microfungus	
85	Cluster_102	Eukaryota	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
86	Cluster_116	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Pathotroph	Plant Pathogen	Microfungus	
87	Cluster_145	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	N.R	N.R	N.R	
88	Cluster_196	Eukaryota	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
89	Cluster_111	Eukaryota	Fungi	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Piptocephalidaceae	N.R	N.R	N.R	
90	Cluster_110	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	N.R	N.R	N.R	
91	Cluster_137	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Pathotroph-Saprotroph	Pathotroph-Saprotroph	Microfungus	
92	Cluster_176	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Multi-affiliation	N.R	N.R	N.R	
93	Cluster_106	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
94	Cluster_105	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
