sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s479	13104	193	J-18-1PC07-1_S246_L001	18	13	J	18J	june	2018	1PC07	p1	1PC07p1	0	0p1	1	patch	Trifolium
s480	27834	554	J-18-1PC07-2_S248_L001	18	13	J	18J	june	2018	1PC07	p1	1PC07p1	0	0p1	2	patch	Trifolium
s481	10568	119	J-18-1PC07-3_S250_L001	18	13	J	18J	june	2018	1PC07	p1	1PC07p1	0	0p1	3	patch	Trifolium
s482	33248	651	J-18-1PC07-4_S252_L001	18	13	J	18J	june	2018	1PC07	p2	1PC07p2	0	0p2	4	patch	Trifolium
s483	38591	718	J-18-1PC07-5_S254_L001	18	13	J	18J	june	2018	1PC07	p2	1PC07p2	0	0p2	5	patch	Trifolium
s484	27876	556	J-18-1PC07-6_S241_L001	18	13	J	18J	june	2018	1PC07	p2	1PC07p2	0	0p2	6	patch	Trifolium
s485	22131	455	J-18-1PC07-7_S243_L001	18	13	J	18J	june	2018	1PC07	mb	1PC07mb	0	0mb	7	mb	Brachypodium
s486	26918	539	J-18-1PC07-8_S245_L001	18	13	J	18J	june	2018	1PC07	mb	1PC07mb	0	0mb	8	mb	Brachypodium
s487	19657	392	J-18-1PC08-1_S282_L001	18	13	J	18J	june	2018	1PC08	p1	1PC08p1	0	0p1	1	patch	Trifolium
s488	13891	225	J-18-1PC08-2_S283_L001	18	13	J	18J	june	2018	1PC08	p1	1PC08p1	0	0p1	2	patch	Trifolium
s489	11705	160	J-18-1PC08-3_S273_L001	18	13	J	18J	june	2018	1PC08	p1	1PC08p1	0	0p1	3	patch	Trifolium
s490	7474	34	J-18-1PC08-4_S273_L001	18	13	J	18J	june	2018	1PC08	p2	1PC08p2	0	0p2	4	patch	Trifolium
s491	17601	340	J-18-1PC08-5_S275_L001	18	13	J	18J	june	2018	1PC08	p2	1PC08p2	0	0p2	5	patch	Trifolium
s492	33578	657	J-18-1PC08-6_S276_L001	18	13	J	18J	june	2018	1PC08	p2	1PC08p2	0	0p2	6	patch	Trifolium
s493	7230	29	J-18-1PC08-7_S275_L001	18	13	J	18J	june	2018	1PC08	mb	1PC08mb	0	0mb	7	mb	Brachypodium
s494	21731	443	J-18-1PC09-1_S118_L001	18	13	J	18J	june	2018	1PC09	p1	1PC09p1	0	0p1	1	patch	Trifolium
s495	8684	65	J-18-1PC09-2_S120_L001	18	13	J	18J	june	2018	1PC09	p1	1PC09p1	0	0p1	2	patch	Trifolium
s496	19833	399	J-18-1PC09-3_S122_L001	18	13	J	18J	june	2018	1PC09	p1	1PC09p1	0	0p1	3	patch	Trifolium
s497	11599	154	J-18-1PC09-4_S124_L001	18	13	J	18J	june	2018	1PC09	p2	1PC09p2	0	0p2	4	patch	Trifolium
s498	16603	313	J-18-1PC09-5_S126_L001	18	13	J	18J	june	2018	1PC09	p2	1PC09p2	0	0p2	5	patch	Trifolium
s499	9462	84	J-18-1PC09-6_S128_L001	18	13	J	18J	june	2018	1PC09	p2	1PC09p2	0	0p2	6	patch	Trifolium
s500	11011	137	J-18-1PC09-7_S129_L001	18	13	J	18J	june	2018	1PC09	mb	1PC09mb	0	0mb	7	mb	Brachypodium
s501	10773	127	J-18-1PC09-8_S131_L001	18	13	J	18J	june	2018	1PC09	mb	1PC09mb	0	0mb	8	mb	Brachypodium
s502	8533	60	O-18-1P01-1_S98_L001	18	17	O	18O	october	2018	1P01	p1	1P01p1	1	1p1	1	patch	Trifolium
s503	16349	306	O-18-1P01-2_S100_L001	18	17	O	18O	october	2018	1P01	p1	1P01p1	1	1p1	2	patch	Trifolium
s504	11219	141	O-18-1P01-3_S102_L001	18	17	O	18O	october	2018	1P01	p1	1P01p1	1	1p1	3	patch	Trifolium
s505	12006	166	O-18-1P01-4_S104_L001	18	17	O	18O	october	2018	1P01	p2	1P01p2	1	1p2	4	patch	Trifolium
s506	29213	586	O-18-1P01-5_S106_L001	18	17	O	18O	october	2018	1P01	p2	1P01p2	1	1p2	5	patch	Trifolium
